Longitude,Latitude,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2008,2009,2010,2011
54.198,38.494,3.0,12.0,7.0,12.0,9.0,9.0,14.0,10.0,11.0,9.0,9.0,12.0,7.0,11.0,8.0,6.0,5.0,8.0,10.0,9.0,9.0
61.586,36.428,3.0,13.0,11.0,9.0,12.0,14.0,11.0,11.0,13.0,17.0,13.0,15.0,15.0,17.0,13.0,13.0,6.0,8.0,14.0,8.0,6.0
61.445,36.484,4.0,13.0,11.0,9.0,11.0,13.0,11.0,12.0,12.0,16.0,14.0,15.0,13.0,14.0,12.0,16.0,6.0,8.0,14.0,8.0,6.0
54.213,38.52,5.0,11.0,8.0,12.0,8.0,9.0,11.0,12.0,13.0,10.0,10.0,12.0,7.0,11.0,8.0,5.0,5.0,6.0,10.0,10.0,8.0
53.836,39.38,9.0,17.0,15.0,13.0,14.0,16.0,14.0,16.0,19.0,14.0,16.0,18.0,23.0,23.0,16.0,14.0,7.0,10.0,21.0,15.0,13.0
54.193,38.51,4.0,11.0,8.0,12.0,9.0,9.0,13.0,11.0,12.0,9.0,5.0,9.0,6.0,10.0,7.0,8.0,4.0,6.0,10.0,9.0,9.0
59.087,39.868,3.0,10.0,9.0,12.0,13.0,12.0,14.0,13.0,12.0,12.0,10.0,14.0,11.0,9.0,11.0,13.0,7.0,7.0,13.0,11.0,4.0
54.213,37.636,2.0,7.0,6.0,11.0,8.0,10.0,6.0,8.0,11.0,9.0,9.0,16.0,9.0,12.0,11.0,6.0,5.0,8.0,10.0,8.0,7.0
61.3,40.82,3.0,10.0,8.0,10.0,11.0,12.0,8.0,10.0,17.0,14.0,14.0,12.0,17.0,10.0,11.0,9.0,6.0,7.0,12.0,8.0,6.0
54.247,39.372,5.0,8.0,6.0,11.0,8.0,10.0,11.0,10.0,6.0,9.0,17.0,11.0,12.0,11.0,13.0,12.0,4.0,5.0,8.0,6.0,5.0
54.587,39.046,4.0,8.0,7.0,8.0,5.0,9.0,7.0,10.0,8.0,9.0,6.0,10.0,7.0,10.0,8.0,9.0,4.0,5.0,8.0,9.0,8.0
61.238,36.098,3.0,13.0,11.0,8.0,12.0,14.0,10.0,11.0,11.0,17.0,14.0,14.0,14.0,13.0,15.0,15.0,6.0,9.0,15.0,9.0,5.0
61.281,40.781,3.0,11.0,10.0,11.0,10.0,11.0,9.0,12.0,19.0,15.0,15.0,12.0,16.0,10.0,11.0,9.0,6.0,8.0,12.0,8.0,6.0
61.564,36.431,3.0,13.0,11.0,9.0,12.0,14.0,11.0,11.0,13.0,17.0,13.0,15.0,14.0,17.0,14.0,13.0,6.0,8.0,14.0,8.0,6.0
61.0,37.401,9.0,25.0,23.0,20.0,19.0,21.0,22.0,24.0,25.0,28.0,24.0,25.0,29.0,32.0,31.0,,,,,,
7.586,28.696,27.0,28.0,,,,,,,,,,,,,,,,,,,
61.445,36.48,4.0,13.0,11.0,9.0,11.0,13.0,11.0,12.0,12.0,16.0,14.0,15.0,13.0,14.0,12.0,16.0,6.0,8.0,14.0,8.0,6.0
61.57,36.565,4.0,13.0,12.0,9.0,12.0,14.0,11.0,11.0,13.0,17.0,13.0,11.0,14.0,17.0,14.0,14.0,6.0,8.0,14.0,6.0,6.0
54.203,38.51,5.0,11.0,8.0,12.0,8.0,9.0,13.0,11.0,12.0,9.0,6.0,10.0,7.0,10.0,7.0,7.0,4.0,6.0,9.0,9.0,9.0
61.542,36.402,4.0,13.0,12.0,9.0,12.0,14.0,12.0,10.0,13.0,17.0,13.0,15.0,15.0,16.0,14.0,14.0,6.0,8.0,14.0,8.0,6.0
54.732,38.721,3.0,9.0,5.0,9.0,7.0,8.0,7.0,7.0,8.0,6.0,6.0,11.0,7.0,10.0,9.0,8.0,5.0,6.0,6.0,9.0,8.0
54.451,38.965,4.0,8.0,5.0,10.0,6.0,8.0,8.0,8.0,7.0,8.0,6.0,10.0,6.0,10.0,8.0,9.0,4.0,5.0,6.0,8.0,9.0
